Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene name	Crab-eating macaque gene stable ID	Crab-eating macaque gene name
ENSMUSG00000064341	ENSMUSG00000064341.1	ENSMUST00000082392	ENSMUST00000082392.1	mt-Nd1	ENSMFAG00000016729	
ENSMUSG00000064341	ENSMUSG00000064341.1	ENSMUST00000082392	ENSMUST00000082392.1	mt-Nd1	ENSMFAG00000033580	
ENSMUSG00000064341	ENSMUSG00000064341.1	ENSMUST00000082392	ENSMUST00000082392.1	mt-Nd1	ENSMFAG00000046415	ND1
ENSMUSG00000064345	ENSMUSG00000064345.1	ENSMUST00000082396	ENSMUST00000082396.1	mt-Nd2	ENSMFAG00000046416	ND2
ENSMUSG00000064351	ENSMUSG00000064351.1	ENSMUST00000082402	ENSMUST00000082402.1	mt-Co1	ENSMFAG00000046417	COX1
ENSMUSG00000064354	ENSMUSG00000064354.1	ENSMUST00000082405	ENSMUST00000082405.1	mt-Co2	ENSMFAG00000046418	COX2
ENSMUSG00000064356	ENSMUSG00000064356.3	ENSMUST00000082407	ENSMUST00000082407.1	mt-Atp8	ENSMFAG00000046419	ATP8
ENSMUSG00000064357	ENSMUSG00000064357.1	ENSMUST00000082408	ENSMUST00000082408.1	mt-Atp6	ENSMFAG00000022270	
ENSMUSG00000064357	ENSMUSG00000064357.1	ENSMUST00000082408	ENSMUST00000082408.1	mt-Atp6	ENSMFAG00000046420	ATP6
ENSMUSG00000064357	ENSMUSG00000064357.1	ENSMUST00000082408	ENSMUST00000082408.1	mt-Atp6	ENSMFAG00000020465	
ENSMUSG00000064357	ENSMUSG00000064357.1	ENSMUST00000082408	ENSMUST00000082408.1	mt-Atp6	ENSMFAG00000030712	
ENSMUSG00000064357	ENSMUSG00000064357.1	ENSMUST00000082408	ENSMUST00000082408.1	mt-Atp6	ENSMFAG00000013152	
ENSMUSG00000064358	ENSMUSG00000064358.1	ENSMUST00000082409	ENSMUST00000082409.1	mt-Co3	ENSMFAG00000046421	COX3
ENSMUSG00000064360	ENSMUSG00000064360.1	ENSMUST00000082411	ENSMUST00000082411.1	mt-Nd3	ENSMFAG00000046422	ND3
ENSMUSG00000065947	ENSMUSG00000065947.3	ENSMUST00000084013	ENSMUST00000084013.1	mt-Nd4l	ENSMFAG00000046423	ND4L
ENSMUSG00000064363	ENSMUSG00000064363.1	ENSMUST00000082414	ENSMUST00000082414.1	mt-Nd4	ENSMFAG00000046424	ND4
ENSMUSG00000064367	ENSMUSG00000064367.1	ENSMUST00000082418	ENSMUST00000082418.1	mt-Nd5	ENSMFAG00000046425	ND5
ENSMUSG00000064368	ENSMUSG00000064368.1	ENSMUST00000082419	ENSMUST00000082419.1	mt-Nd6	ENSMFAG00000046426	ND6
ENSMUSG00000064370	ENSMUSG00000064370.1	ENSMUST00000082421	ENSMUST00000082421.1	mt-Cytb	ENSMFAG00000046427	CYTB
ENSMUSG00000020303	ENSMUSG00000020303.2	ENSMUST00000020546	ENSMUST00000020546.2	Stc2	ENSMFAG00000042809	STC2
ENSMUSG00000020303	ENSMUSG00000020303.2	ENSMUST00000152094	ENSMUST00000152094.1	Stc2	ENSMFAG00000042809	STC2
ENSMUSG00000020303	ENSMUSG00000020303.2	ENSMUST00000134199	ENSMUST00000134199.1	Stc2	ENSMFAG00000042809	STC2
